MacBook Pro M2 Pro 14" 16GB RAM 512GB SSD - R$ 14.999
PC Gamer RTX 4070 Ti / Ryzen 7 7700X - R$ 12.500
Apple Gamer Desktop i9-12900K 16GB 2TB SSD - R$ 10.881
MSI Desktop 7 64GB 4TB SSD - R$ 8.215
Lenovo Notebook 9 8GB 4TB SSD - R$ 10.391
Lenovo Notebook i9-12900K 32GB 2TB SSD - R$ 10.219
Samsung Desktop i7-13700K 64GB 2TB SSD - R$ 9.915
Apple Gamer Desktop i9-12900K 8GB 1TB SSD - R$ 11.442
Gigabyte Desktop i9-13900K 16GB 1TB SSD - R$ 12.064
Apple Desktop i7-13700K 64GB 1TB SSD - R$ 9.766
Samsung Gamer Desktop i9-13900K 16GB 2TB SSD - R$ 8.774
iMac M1 24" 8GB RAM 256GB SSD Azul - R$ 9.999
Gigabyte Desktop i5-13600K 16GB 2TB SSD - R$ 9.776
Samsung Notebook 9 32GB 2TB SSD - R$ 10.284
Lenovo Gamer Desktop Pro 16GB 256GB SSD - R$ 10.331
Apple Gamer Notebook Pro 64GB 1TB SSD - R$ 8.271
Apple Notebook i9-12900K 64GB 4TB SSD - R$ 10.630
MSI Notebook Pro 32GB 4TB SSD - R$ 8.562
Asus Gamer Desktop i9-13900K 64GB 1TB SSD - R$ 10.329
Gigabyte Notebook Pro 64GB 256GB SSD - R$ 8.842
Samsung Notebook 7 32GB 4TB SSD - R$ 9.232
Acer Gamer Notebook 5 16GB 4TB SSD - R$ 9.393
Gigabyte Notebook i9-13900K 16GB 256GB SSD - R$ 8.315
LG Notebook 9 16GB 4TB SSD - R$ 8.027
MSI Desktop 9 8GB 512GB SSD - R$ 12.442
LG Notebook 9 8GB 1TB SSD - R$ 8.316
Lenovo Gamer Notebook Pro 32GB 256GB SSD - R$ 8.344
MSI Desktop 5 32GB 1TB SSD - R$ 8.443
MSI Desktop 9 64GB 256GB SSD - R$ 11.793
MSI Desktop 9 64GB 256GB SSD - R$ 8.835
Dell Gamer Desktop i9-12900K 16GB 256GB SSD - R$ 9.636
Gigabyte Desktop 9 32GB 2TB SSD - R$ 8.054
MSI Desktop i5-13600K 16GB 256GB SSD - R$ 9.839
Samsung Gamer Notebook undefined 32GB 2TB SSD - R$ 9.220
MSI Desktop i9-12900K 32GB 1TB SSD - R$ 9.511
LG Desktop undefined 64GB 4TB SSD - R$ 10.220
Acer Desktop 7 8GB 1TB SSD - R$ 11.838
Apple Desktop 9 64GB 4TB SSD - R$ 12.231
Acer Desktop 9 8GB 4TB SSD - R$ 10.844
